1292717272218435584,2020-08-10 06:59:49+00:00,RT @thekjohnston: This is why trump built approx 16 walls around the WH.,-1,-1,0,0,en,0,[],,1217366548169609216,Republican,DefundFoxNews24,,"Detroit Sports fan, board operator, producer, future politician",122,370,-1,,,,,
1292717283132022785,2020-08-10 06:59:52+00:00,"RT @MiriamH_13: Lord, please watch over &amp; protect her.",-1,-1,0,0,en,0,[],,2859821153,RiceNPeas,KitaiiArisu,,Jamaican 🇯🇲| Struggling through college| Senior Procrastinator | Send help.,30,243,-1,,,,,
1292717287800266752,2020-08-10 06:59:53+00:00,"RT @MiriamH_13: Lord, please watch over &amp; protect her.",-1,-1,0,0,en,0,[],,182656522,Mr. Ando,1n3555,"Intercourse, PA",Fuck the other bitches cuz I’m the best bitch,366,556,-1,,,,,
1292717276852916229,2020-08-10 06:59:50+00:00,"RT @MiriamH_13: Lord, please watch over &amp; protect her.",-1,-1,0,0,en,0,[],,2154229950,febreze jim,deliciousnixll,,olive u @robertdowneyjr,1564,773,-1,,,,,
1292717276760879106,2020-08-10 06:59:50+00:00,RT @jonkirbysthlm: The Savvy Truth gives a passionate account of the true pandemic in the world today. More people need to understand this…,-1,-1,0,0,en,0,[],,20343754,FromLiesToTruth.com #KBF #NoNewNormal,Stop_NewNormal,DystopianUK is here and now,"https://t.co/WF4lWUSfvT #CovidHoax and #Masks are just the beginning.
FIGHT, OR NORMAL is NEVER COMING BACK!
#WakeUp
https://t.co/WF4lWUSfvT
#KBF
#FREEDOM
#NoNewNormal",1589,1768,-1,,,,,
1292717286906892288,2020-08-10 06:59:53+00:00,"RT @MiriamH_13: Lord, please watch over &amp; protect her.",-1,-1,0,0,en,0,[],,964545429210914817,"Love, Damian ♡",gtfodam,,welcome to my online diary🏳️‍🌈. (he/him) #BLM miley cyrus is the moment,135,934,-1,,,,,
1292717289687511040,2020-08-10 06:59:54+00:00,"RT @MiriamH_13: Lord, please watch over &amp; protect her.",-1,-1,0,0,en,0,[],,2348252298,강하게 있는 것은 선택이다⁷,maevillaeve,,capricorn 23 🦋 psychology student 🦋 army 🦋 eve protection squad 🦋 protect jules at all 🦋 they/them,1167,193,-1,,,,,
1292717289645543425,2020-08-10 06:59:54+00:00,"RT @MiriamH_13: Lord, please watch over &amp; protect her.",-1,-1,0,0,en,0,[],,1050389543709339649,balqiss|🍉,Ummibalqis5,"Selangor, Malaysia",ight bet,271,276,-1,,,,,
1292717287598940160,2020-08-10 06:59:53+00:00,RT @hugoandalice: You already have like 9 people living in SD and you want to kill off a bunch of them (and have it spread elsewhere)? You…,-1,-1,0,0,en,0,[],,1185572365977214976,Sydney A - A REP LAUREN UNDERWOOD STAN,TheSydneyA,Where da girls get Nekkid,"Haus/Hip Hop DJ, Songtress, She/Her - The Gangsta Rap Aficionado. Writer. Creative Director - Founder: @AntigoldMAG Panelist - #LWTKH #Kamala202X",4706,2187,-1,,,,,
1292717289024794626,2020-08-10 06:59:53+00:00,"RT @MiriamH_13: Lord, please watch over &amp; protect her.",-1,-1,0,0,en,0,[],,1025764277141954560,honey🐝,zadhyerss__,,,46,116,-1,,,,,
1292717291243806721,2020-08-10 06:59:54+00:00,"RT @MiriamH_13: Lord, please watch over &amp; protect her.",-1,-1,0,0,en,0,[],,153169581,•.⁷BLM ⁷.•,_Kookmin1301,TEXAS ,"𝐿𝑜𝓋𝑒 𝑀𝓎𝓈𝑒𝓁𝒻♡𝐿𝑜𝓋𝑒 𝒴𝑜𝓊𝓇𝓈𝑒𝓁𝒻

❥𝒪𝒯𝟩❥♋",1474,1142,-1,,,,,
1292717299175055360,2020-08-10 06:59:56+00:00,"RT @MiriamH_13: Lord, please watch over &amp; protect her.",-1,-1,0,0,en,0,[],,375013684,Aliaa Ali,auntypermana,"Langkawi, Kedah, Malaysia","I never killed anyone but I ruined people.                                               USIM ⚖️ , ig: @aliaa.ali_",719,233,-1,,,,,
1292717297803681792,2020-08-10 06:59:55+00:00,"RT @Reigart: @thomaskaine5 Yes, FOX is a danger to America.  They should be shut down.  From their dangerous lies about the pandemic, encou…",-1,-1,0,0,en,0,[],,1144451217734504452,carol small,carolNotmyPres,United States,,133,989,-1,,,,,
